Engrais,N,rdt_tha,sd,se,ci,groups
700 kg/ha NPK,6,108.66666666666666,4.576521240709661,1.8683569727912765,4.802764496741706,a
400 kg/ha NPK + 600 kg/ha INT,6,87.1,0.5517608177462427,0.22525541058984672,0.5790374668410597,b
600 kg/ha NPK + 600 kg/ha INT,6,99.41166666666666,0.9176800459128824,0.3746413099367336,0.9630461462023618,ab
300 kg/ha NPK + 1200 kg/ha INT,6,88.15333333333334,0.8450719890439329,0.344999194846082,0.8868486635804917,b
400 kg/ha NPK + 1200 kg/ha INT,6,97.375,1.3578917482627253,0.5543569848632439,1.4250199957475698,ab
600 kg/ha NPK + 1200 kg/ha INT,6,108.68,3.2721124675047486,1.3358343210643062,3.433871441147473,a
